page,patterns
425,https://www.zaubacorp.com/company-list/status-Active/age-A/paidup-A/p-{i}-company.html
8029,https://www.zaubacorp.com/company-list/status-Active/age-B/paidup-A/p-{i}-company.html
8501,https://www.zaubacorp.com/company-list/status-Active/age-C/paidup-A/p-{i}-company.html
12068,https://www.zaubacorp.com/company-list/status-Active/age-D/paidup-A/p-{i}-company.html
6111,https://www.zaubacorp.com/company-list/status-Active/age-E/paidup-A/p-{i}-company.html
1102,https://www.zaubacorp.com/company-list/status-Active/age-F/paidup-A/p-{i}-company.html
30,https://www.zaubacorp.com/company-list/status-Strike+Off/age-B/paidup-A/p-{i}-company.html
954,https://www.zaubacorp.com/company-list/status-Strike+Off/age-C/paidup-A/p-{i}-company.html
3326,https://www.zaubacorp.com/company-list/status-Strike+Off/age-D/paidup-A/p-{i}-company.html
10483,https://www.zaubacorp.com/company-list/status-Strike+Off/age-E/paidup-A/p-{i}-company.html
7514,https://www.zaubacorp.com/company-list/status-Strike+Off/age-F/paidup-A/p-{i}-company.html
1038,https://www.zaubacorp.com/company-list/status-Amalgamated/p-{i}-company.html 
951,https://www.zaubacorp.com/company-list/status-Under+Process+of+Striking+Off/p-{i}-company.html
580,https://www.zaubacorp.com/company-list/status-Converted+to+LLP/p-{i}-company.html
326,https://www.zaubacorp.com/company-list/status-Dissolved/p-{i}-company.html
247,https://www.zaubacorp.com/company-list/status-Not+available+for+efiling/p-{i}-company.html
247,https://www.zaubacorp.com/company-list/status-Under+Liquidation/p-{i}-company.html
218,https://www.zaubacorp.com/company-list/status-Under+process+of+striking+off/p-{i}-company.html
171,https://www.zaubacorp.com/company-list/status-Converted+to+LLP+and+Dissolved/p-{i}-company.html
82,https://www.zaubacorp.com/company-list/status-Dormant+under+section+455/p-{i}-company.html
80,https://www.zaubacorp.com/company-list/status-Inactive+for+e-filing/p-{i}-company.html
34,https://www.zaubacorp.com/company-list/status-Liquidated/p-{i}-company.html
33,https://www.zaubacorp.com/company-list/status-Converted+to+CMP+and+Dissolved/p-{i}-company.html
28,https://www.zaubacorp.com/company-list/status-Dissolved+%28Liquidated%29/p-{i}-company.html
20,https://www.zaubacorp.com/company-list/status-Converted+and+Dissolved/p-{i}-company.html
11,https://www.zaubacorp.com/company-list/status-Under+CIRP/p-{i}-company.html
6,https://www.zaubacorp.com/company-list/status-Defunct/p-{i}-company.html
3,https://www.zaubacorp.com/company-list/status-Not+Available+for+e-filing/p-{i}-company.html
2,https://www.zaubacorp.com/company-list/status-Under+Process+Of+Strike+Off/p-{i}-company.html
2,https://www.zaubacorp.com/company-list/status-Inactive/p-{i}-company.html
1,https://www.zaubacorp.com/company-list/status-Dissolved%20under%20section%2054-company.html
1,https://www.zaubacorp.com/company-list/status-Dissolved%20under%20section%2059(8)-company.html
1,https://www.zaubacorp.com/company-list/status-Strike%20Off-AwaitingPublication-company.html
1,https://www.zaubacorp.com/company-list/status-Dormant-company.html
10000,https://www.zaubacorp.com/company-list/paidup-B/p-{i}-company.html
9155,https://www.zaubacorp.com/company-list/paidup-C/p-{i}-company.html
5011,https://www.zaubacorp.com/company-list/paidup-D/p-{i}-company.html
3242,https://www.zaubacorp.com/company-list/paidup-E/p-{i}-company.html
1141,https://www.zaubacorp.com/company-list/paidup-F/p-{i}-company.html
320,https://www.zaubacorp.com/company-list/paidup-G/p-{i}-company.html
110,https://www.zaubacorp.com/company-list/paidup-H/p-{i}-company.html